贴文ID,作者名字,认证状态,粉丝数,转评赞数,微博内容,话题名称,视频标题
OwLJrEWPC,全景网,True,2541461,9031562,#京东再次涨薪# 【刘强东主导下京东再次涨薪：零售集团和职能体系将用两年时间实现20薪！#刘强东# 曾说：要让京东的相关部门成为行业收入最高，没有之一！】#大佬语录# http://t.cn/A6RB9WYR ,京东再次涨薪/刘强东/大佬语录,全景网的微博视频
Oh1q7CBbd,这剧会火,True,216570,14623629,刘强东谈章泽天净资产600亿 ：有能力有追求 。家里什么事都她说了算 http://t.cn/A6HQxmeA ,,这剧会火的微博视频
P3ltH3LcV,电商之家,True,479314,2746376,刘强东：对走在路上的创业者，我唯有的就是这三条忠告。 http://t.cn/A6mXepPh ,,电商之家的微博视频
O5PzwaBBG,名人张聊,True,928481,1597040,刘强东提醒企业家：千万别钱赚了人进去了，老婆孩子拿着钱跟别人跑了。  #京东##刘强东##老张杂谈# http://t.cn/A6TzgbPv ,京东/刘强东/老张杂谈,名人张聊的微博视频
P8FZQ9D5D,WS偏执狂,True,1152383,16375591,刘强东给小学老师每人发10万元，班主任：我们小学老师没多少学问，这样的厚礼令我感到惭愧，计划将10万元捐给更需要的孩子。 #曾资助刘强东5毛钱上大学老人发声# http://t.cn/A6uHVe7s ,曾资助刘强东5毛钱上大学老人发声,WS偏执狂的微博视频
P7QjdweX7,股指期货998,True,1837147,12491315,知道感恩是中国人的美德[good] #刘强东给老家60岁以上老人发一万元# http://t.cn/A6uKLINn ,刘强东给老家60岁以上老人发一万元,股指期货998的微博视频
P8F3Fo5ex,顺十而为,True,228119,5627192,刘强东小学老师接受采访:十分感谢刘强东 有这样的学生感到骄傲 http://t.cn/A6uTFpAS ,,顺十而为的微博视频
P8u5lyjCP,荔枝新闻,True,5410496,100887623,【#刘强东送年货喊村民开三轮车来拉# “每家多派几个人 开三轮车 带绳子捆走” 】 #刘强东送了11卡车年货到光明村# 近日，@刘强东 为老家江苏宿迁光明村的乡亲们送年货，有食用油、多功能锅、暖风机、老人雪地靴、护腰带等，吃的喝的用的样样齐全，每家每户都有。关注 ,刘强东送年货喊村民开三轮车来拉/刘强东送了11卡车年货到光明村/刘强东给自己小学老师每人发10万现金,荔枝新闻的微博视频
P93ZbFrA1,名人张聊,True,928481,1597040,刘强东回忆08年一夜白头：极度伤心，频繁做噩梦，担忧从此活在失败和耻辱中。  #刘强东##京东##创业##老张杂谈# http://t.cn/A6uEYRqn ,刘强东/京东/创业/老张杂谈,名人张聊的微博视频
Og3pxsKQX,金融八卦女,True,3518998,14163669,【#刘强东狼性训话流出#，永远没办法躺着睡大觉，业绩不好又不拼搏的员工全部淘汰】京东创始人刘强东5月24日的线上讲话流出，在宣布给全体采销涨薪之后，刘强东也做出了“狼性训话”，他反复提到无法让员工躺着睡大觉。近期围绕京东严抓考勤的消息不断，据悉午休时间由两小时缩短为一小时，且取消午休 ,刘强东狼性训话流出,金融八卦女的微博视频
OgpBX1YIs,电商之家,True,479314,2746376,刘强东：软弱的人不可能成就伟大的公司，企业最可怕的就是领导议而不决、不做决策，那最糟糕了。 http://t.cn/A6HOgzqZ ,,电商之家的微博视频
OoPQczCGl,紫鹊界罗阿哥带你看世界,True,150685,845685,刘强东说:大量的农民工已经失业! 刘强东讲得好，霸气侧漏，像他这样说实话的人太少了。农民是不会被统计的，再穷再苦没人知道，唉，都是心酸，太多的无奈。#紫鹊界罗阿哥带你看世界[超话]##紫鹊界罗大哥带你看世界# http://t.cn/A68bZ2tf ,紫鹊界罗大哥带你看世界,紫鹊界罗阿哥带你看世界的微博视频
P5gWvu5vn,名人张聊,True,928481,1597040,当年可真敢说啊！  刘强东：中国现在税率太高了，因为它一直收一部分人的税。  #刘强东##京东##税收##老张杂谈# http://t.cn/A6mrwuSZ ,刘强东/京东/税收/老张杂谈,名人张聊的微博视频
OlbDyk3bK,见证布朗尼,True,570685,2375069,刘强东牛津大学精彩演讲：一直追梦 终能成功。  94年，边上学边打工赚24万，相当于今天的一千万以上，确实厉害。  刘强东第一次创业选择开饭店，用大学打工的所有积蓄24万盘下了北京中国人民大学西门的饭店。因为九十年代初，绝大多数中国人刚吃饱，还没有吃饱，民以食为天，所以东哥第一次决定创业开  ,,见证布朗尼的微博视频
P9dPganDp,电商报,True,4266512,52793468,刘强东：我出生在一个草根家庭、一个贫穷的村子里，没觉得自己有什么特殊的。希望在短暂的生命里去创造更多价值。 http://t.cn/A6umKxiS ,,电商报的微博视频
P23L7ioby,澎湃新闻,True,32644595,572521229,【发布不实信息，#搜狐娱乐向刘强东夫妇致歉#】11月26日，搜狐网发致歉声明：搜狐娱乐“糊说娱有料”未经核实发布关于刘强东章泽天夫妇家庭及私人生活的不实信息，严重损害其声誉。搜狐娱乐向刘强东章泽天诚恳致歉。 http://t.cn/A6mLgOxy ,搜狐娱乐向刘强东夫妇致歉,澎湃新闻的微博视频
Og6K9oG9Z,电商之家,True,479314,2746376,刘强东：对走在路上的创业者，我唯有的就是这三条忠告。 http://t.cn/A6HpvZLq ,,电商之家的微博视频
P8VPL6P9X,王者之香二86,False,23184,631302,成功不忘乡亲，这才是真正的企业家！ 【刘强东给老家乡亲们的年货已到，还给他的每位小学老师准备了10万元现金红包】http://t.cn/A6uRU0NF……2025年春节，刘强东再次给老家光明村村民发年货，每家有（价值）几千元的礼品，60岁以上的老人一人一万元现金。1月7日中午…… http://t.cn/A6uRU0Op ,,王者之香二86的微博视频
OuQMJDqo4,电商行业,True,2904444,8875502,刘强东坦率承认过去犯的最大错误：没有预估到支付的价值。 http://t.cn/A6RSn0Km ,,电商行业的微博视频
P4RO27fiV,顺十而为,True,228118,5627192,刘强东:一年10亿不叫利润｡ http://t.cn/A6mnsWAn ,,顺十而为的微博视频
P8DwdxJbR,九派新闻,True,4330058,86155275,#曾资助刘强东村民称没图有回报#【#33年前的5毛钱变成今天的1万元#】今年春节，刘强东为他江苏宿迁光明村老家村民准备了总价值超3千万的年货。此外，村里60岁以上的老人每人可领一万元现金，小学母校所有老师每人可领十万元现金。今年72岁的光明村村民周先生称，刘强东考上大学那一年，村里人都很震惊 ,曾资助刘强东村民称没图有回报/33年前的5毛钱变成今天的1万元/曾资助刘强东5毛钱上大学老人发声,九派新闻的微博视频
P8k7evuWB,麒炜投资,True,287743,3122573,刘强东：我绝对不允许县长的工资比京东快递员高！只要县长工资涨了，我一定给你们涨！ http://t.cn/A6uWyGPw ,,麒炜投资的微博视频
OBR9aE8u0,明星叭叭叭,True,495157,1480701,我以为郭碧婷已经很能忍了，没想到章泽天更甚！ #章泽天巴黎晚宴近照# #刘强东章泽天# #奶茶妹妹章泽天# #郭碧婷# http://t.cn/A6EdW8o6 ,章泽天巴黎晚宴近照/刘强东章泽天/奶茶妹妹章泽天/郭碧婷,明星叭叭叭的微博视频
P8NxrtyBm,娱千千,True,288241,42780759,善良朴实的村民，值得刘强东送钱送年货#刘强东#刘强东给老家乡亲的年货到了 http://t.cn/A6uQON5D ,刘强东,娱千千的微博视频
OCus2EFRy,盖世肉姐,True,165383,541067,辛巴叫板刘强东，你敢在我后面搞小动作，我就直接说你刘强东的事！我可不是李佳琦！ http://t.cn/A6nPpcd3 #辛巴叫板刘强东# #辛巴称我可不是李佳琦# ,辛巴叫板刘强东/辛巴称我可不是李佳琦,盖世肉姐的微博视频
P8P49kKk1,电商报,True,4266512,52793468,刘强东带头回老家投资，还拜访了所有友商，创造了不少就业，家乡也变得越来越好，令人暖心！ http://t.cn/A6u8Pyuq ,,电商报的微博视频
OixTD9u3e,娱千千,True,288241,42780759,刘强东有那么不堪吗？ http://t.cn/A6QvMqHy ,,娱千千的微博视频
OeicAprj2,佛系邱小姐,False,143020,2840023,2008年汶川地震捐出全部家底，第二天到绵阳，灾区干了14天！  这就是我们的民族企业家——刘强东。[作揖][赞] #优质博文上热搜开放计划# http://t.cn/A6HtVIQg ,优质博文上热搜开放计划,佛系邱小姐的微博视频
P8Fe5aVpZ,跨境必读,True,671842,1219111,刘强东：只要有难，京东的救援物资永远是第一个到达灾区的。 http://t.cn/A6uHhRna ,,跨境必读的微博视频
O9R5Jkev1,闫跃龙,True,465676,755753,哇，东哥要复出啦，将在明天直播，这数字人和真人真是一模一样！#刘强东##刘强东直播# http://t.cn/A6TWwl1D ,刘强东/刘强东直播,闫跃龙的微博视频
Ora2bFipG,全景网,True,2541462,9031562,#刘强东#：企业家的幸福是正道成功 克扣员工是耻辱 #大佬语录##商业思维# http://t.cn/A68QsleU ,刘强东/大佬语录/商业思维,全景网的微博视频
O7ctzoenC,tz-小红帽,True,195819,3218815,#刘强东# 对阵#雷军# ，罕见认怂“不要跟雷军比营销”！  小米确实不错啊[赞] http://t.cn/A6T5tvok ,刘强东/雷军,tz-小红帽的微博视频
ODUyF8DoZ,二狗视野,True,682922,6582060,宇文泡调侃结婚婚车用的是刘强东的，王剑直言你又阴阳辛巴，宇文泡马上否认！ http://t.cn/A6nVnJ0M ,,二狗视野的微博视频
Otk5oyock,老高电商圈子,True,3007350,16029657,刘强东激情演讲企业的运营管理 http://t.cn/A6Ryi3J2 ,,老高电商圈子的微博视频
O7AwtudCT,老高电商圈子,True,3007350,16029657,刘强东这样评价马云和雷军很透彻 http://t.cn/A6TVXB9o ,,老高电商圈子的微博视频
P8Du5catA,顺十而为,True,228118,5627192,刘强东舅舅寄语刘强东：保重身体，好好工作，把公司领导好！ http://t.cn/A6uT9fqo ,,顺十而为的微博视频
P81GgvznT,老牛佛眼观市,True,454983,2522179,刘强东豪言：5年带全村收入翻10倍，真能实现吗？ http://t.cn/A6uC1Bou ,,老牛佛眼观市的微博视频
P8COzyw7z,九派新闻,True,4330058,86155275,#村书记回应刘强东发1500万现金#【#村书记称5万多件年货家家有份#】“开心啊，我都领了两回了，上回我也来了。”1月8日早上9时许，江苏宿迁光明村，一位正在排队领取现金的老人说，这已经不是刘强东第一次给村民们派发新年礼品了，这次领现金的老人此前已经统计好名单，大家到现场来领取即可。九派新闻 ,村书记回应刘强东发1500万现金/村书记称5万多件年货家家有份/曾资助刘强东5毛钱上大学老人发声,九派新闻的微博视频
P972Jh35b,澎湃春秋,True,545986,7689266,东哥的格局就是大，不愧是做实事的企业家，为父老乡亲谋福利，每一件事都很实在，每一句话都让人为之动容。2015年，京东上市后，刘强东首次以现金形式大规模回馈家乡，为650多名60岁以上老人每人送上1万元红包。这一举动在当时引起了轰动，体现了他对村民的感激和回报。此后，刘强东多次通过捐款、项目 ,热门视频,澎湃春秋的微博视频
OkPkEnP9m,电商报,True,4266512,52793468,刘强东：创业成功的秘诀，只有这三点。 http://t.cn/A6QaHsZx ,,电商报的微博视频
P8XS8hf88,历史探秘,True,1493702,7780036,京东创始人 刘强东，给宿迁光明村乡亲们发送超3000万的年货，村里60岁以上老人每人一万块钱红包，小学启蒙老师每人10万元红包！[威武][赞][赞][赞]  大强子妥妥的宿迁人的骄傲呀！成功励志的榜样！[作揖] http://t.cn/A6uRjclL ,,历史探秘的微博视频
P7JCrhroR,钱江晚报,True,9714051,69941715,【#刘强东老家就业率100%#】1月1日，据宿迁刘强东老家光明村村民透露，已接到村通知，2025年春节，刘强东将再次给光明村江苏宿迁村民发现金，“每家有几千元礼品，60岁以上老人有一万元”，据称，具体发放时间都已确定在8号，目前村长在挨家挨户通知宣传。  光明村干部接受采访时曾表示：“光明村6000 ,刘强东老家就业率100%/刘强东给老家60岁以上老人发一万元,钱江晚报的微博视频
P8Fr4Dd3x,半程KeMeng,True,515584,18553930,刘强东小学班主任计划将10万元捐出！班主任：我们小学老师没多少学问，这样的厚礼令我感到惭愧，计划将10万元捐给更需要的孩子（视频来源：海报新闻） http://t.cn/A6uHUp9l ,,半程KeMeng的微博视频
P8C8mhBgX,外贸商老贾,True,393258,7242610,东子是懂得感恩的，尽管生活作风有点瑕疵，不影响他是一个实在的人……#曾资助刘强东5毛钱上大学老人发声# http://t.cn/A6uT7g8H ,曾资助刘强东5毛钱上大学老人发声,外贸商老贾的微博视频
